ts,machine_id,i_rms_a,v_nominal,pf_assumed,kw_est,temp_c,state_label,notes,drift_type
2026-09-06T10:03:23Z,laptop_charger_01,0.36,223.62,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:24Z,laptop_charger_01,0.36,223.56,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:26Z,laptop_charger_01,0.36,223.5,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:28Z,laptop_charger_01,0.38,223.24,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:30Z,laptop_charger_01,0.36,223.75,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:32Z,laptop_charger_01,0.37,229.66,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:34Z,laptop_charger_01,0.37,229.85,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:36Z,laptop_charger_01,0.37,229.18,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:38Z,laptop_charger_01,0.37,229.37,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:40Z,laptop_charger_01,0.37,229.6,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:42Z,laptop_charger_01,0.37,229.41,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:44Z,laptop_charger_01,0.37,229.18,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:46Z,laptop_charger_01,0.37,229.27,0.93,0.079,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:48Z,laptop_charger_01,0.37,229.39,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:50Z,laptop_charger_01,0.37,229.48,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:52Z,laptop_charger_01,0.37,229.29,0.93,0.079,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:54Z,laptop_charger_01,0.37,229.38,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:55Z,laptop_charger_01,0.37,229.53,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:57Z,laptop_charger_01,0.37,229.41,0.93,0.079,32.5,ACTIVE,normal_run,none
2026-09-06T10:03:59Z,laptop_charger_01,0.37,229.63,0.93,0.079,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:01Z,laptop_charger_01,0.37,229.53,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:03Z,laptop_charger_01,0.37,229.9,0.93,0.08,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:05Z,laptop_charger_01,0.38,229.72,0.93,0.079,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:07Z,laptop_charger_01,0.38,230.08,0.93,0.079,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:09Z,laptop_charger_01,0.37,230.05,0.93,0.079,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:11Z,laptop_charger_01,0.37,229.64,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:13Z,laptop_charger_01,0.37,230.3,0.93,0.079,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:15Z,laptop_charger_01,0.37,230.21,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:17Z,laptop_charger_01,0.37,230.06,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:19Z,laptop_charger_01,0.37,229.96,0.93,0.079,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:21Z,laptop_charger_01,0.37,229.85,0.93,0.078,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:23Z,laptop_charger_01,0.37,229.88,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:24Z,laptop_charger_01,0.37,230.15,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:26Z,laptop_charger_01,0.36,229.97,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:28Z,laptop_charger_01,0.37,229.77,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:30Z,laptop_charger_01,0.36,230.13,0.93,0.075,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:32Z,laptop_charger_01,0.34,229.91,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:34Z,laptop_charger_01,0.36,230.34,0.93,0.076,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:36Z,laptop_charger_01,0.36,229.89,0.93,0.075,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:38Z,laptop_charger_01,0.36,230.23,0.93,0.076,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:40Z,laptop_charger_01,0.36,229.93,0.93,0.077,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:42Z,laptop_charger_01,0.36,229.72,0.93,0.075,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:44Z,laptop_charger_01,0.36,230.29,0.93,0.075,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:46Z,laptop_charger_01,0.36,229.84,0.93,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:48Z,laptop_charger_01,0.35,230.46,0.93,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:50Z,laptop_charger_01,0.35,230.08,0.93,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:52Z,laptop_charger_01,0.35,230.15,0.92,0.074,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:53Z,laptop_charger_01,0.35,230.34,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:55Z,laptop_charger_01,0.34,230.3,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:57Z,laptop_charger_01,0.35,230.35,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:04:59Z,laptop_charger_01,0.35,230.66,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:01Z,laptop_charger_01,0.35,230.36,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:03Z,laptop_charger_01,0.35,230.47,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:05Z,laptop_charger_01,0.35,230.38,0.92,0.073,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:07Z,laptop_charger_01,0.34,230.46,0.92,0.072,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:09Z,laptop_charger_01,0.34,230.57,0.92,0.07,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:11Z,laptop_charger_01,0.34,230.41,0.92,0.071,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:13Z,laptop_charger_01,0.33,230.52,0.92,0.07,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:15Z,laptop_charger_01,0.33,230.7,0.92,0.07,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:17Z,laptop_charger_01,0.34,230.11,0.92,0.07,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:19Z,laptop_charger_01,0.33,230.15,0.92,0.071,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:21Z,laptop_charger_01,0.33,230.23,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:22Z,laptop_charger_01,0.33,230.13,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:24Z,laptop_charger_01,0.33,230.61,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:26Z,laptop_charger_01,0.33,230.15,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:28Z,laptop_charger_01,0.33,230.67,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:30Z,laptop_charger_01,0.33,230.34,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:32Z,laptop_charger_01,0.33,230.32,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:34Z,laptop_charger_01,0.33,230.53,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:36Z,laptop_charger_01,0.33,230.28,0.92,0.068,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:38Z,laptop_charger_01,0.33,230.68,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:40Z,laptop_charger_01,0.33,230.52,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:42Z,laptop_charger_01,0.32,230.05,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:44Z,laptop_charger_01,0.32,230.56,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:46Z,laptop_charger_01,0.32,230.85,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:48Z,laptop_charger_01,0.33,230.86,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:50Z,laptop_charger_01,0.32,230.72,0.92,0.069,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:52Z,laptop_charger_01,0.31,225.1,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:53Z,laptop_charger_01,0.31,224.65,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:55Z,laptop_charger_01,0.31,224.95,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:57Z,laptop_charger_01,0.31,224.93,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:05:59Z,laptop_charger_01,0.31,224.22,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:01Z,laptop_charger_01,0.31,224.55,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:03Z,laptop_charger_01,0.32,230.88,0.92,0.068,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:05Z,laptop_charger_01,0.33,231.18,0.92,0.066,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:07Z,laptop_charger_01,0.32,231.03,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:09Z,laptop_charger_01,0.32,230.65,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:11Z,laptop_charger_01,0.32,231.08,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:13Z,laptop_charger_01,0.32,231.03,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:15Z,laptop_charger_01,0.32,231.3,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:17Z,laptop_charger_01,0.32,230.78,0.92,0.068,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:19Z,laptop_charger_01,0.32,231.12,0.92,0.068,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:21Z,laptop_charger_01,0.32,230.87,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:22Z,laptop_charger_01,0.32,231.0,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:24Z,laptop_charger_01,0.31,231.26,0.92,0.066,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:26Z,laptop_charger_01,0.31,231.07,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:28Z,laptop_charger_01,0.31,231.24,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:30Z,laptop_charger_01,0.31,230.83,0.92,0.066,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:32Z,laptop_charger_01,0.31,230.47,0.92,0.066,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:34Z,laptop_charger_01,0.31,231.15,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:36Z,laptop_charger_01,0.31,230.91,0.92,0.067,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:38Z,laptop_charger_01,0.31,231.08,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:40Z,laptop_charger_01,0.31,230.49,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:42Z,laptop_charger_01,0.31,230.49,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:44Z,laptop_charger_01,0.31,230.98,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:46Z,laptop_charger_01,0.31,230.67,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:48Z,laptop_charger_01,0.31,230.64,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:50Z,laptop_charger_01,0.31,230.2,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:51Z,laptop_charger_01,0.31,230.41,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:53Z,laptop_charger_01,0.31,230.59,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:55Z,laptop_charger_01,0.31,230.98,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:57Z,laptop_charger_01,0.31,231.11,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:06:59Z,laptop_charger_01,0.31,230.36,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:01Z,laptop_charger_01,0.3,230.54,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:03Z,laptop_charger_01,0.31,230.63,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:05Z,laptop_charger_01,0.3,230.89,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:07Z,laptop_charger_01,0.31,231.13,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:09Z,laptop_charger_01,0.31,230.72,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:11Z,laptop_charger_01,0.3,230.63,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:13Z,laptop_charger_01,0.3,230.82,0.91,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:15Z,laptop_charger_01,0.3,231.1,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:17Z,laptop_charger_01,0.3,231.05,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:19Z,laptop_charger_01,0.31,230.63,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:20Z,laptop_charger_01,0.3,230.79,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:22Z,laptop_charger_01,0.3,230.52,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:24Z,laptop_charger_01,0.3,230.8,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:26Z,laptop_charger_01,0.3,230.78,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:28Z,laptop_charger_01,0.3,230.48,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:30Z,laptop_charger_01,0.31,230.26,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:32Z,laptop_charger_01,0.3,230.29,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:34Z,laptop_charger_01,0.31,230.4,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:36Z,laptop_charger_01,0.31,230.88,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:38Z,laptop_charger_01,0.31,230.67,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:40Z,laptop_charger_01,0.31,230.58,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:42Z,laptop_charger_01,0.31,230.28,0.92,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:44Z,laptop_charger_01,0.3,230.71,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:46Z,laptop_charger_01,0.31,231.25,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:48Z,laptop_charger_01,0.3,230.94,0.92,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:50Z,laptop_charger_01,0.3,231.18,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:51Z,laptop_charger_01,0.3,230.98,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:53Z,laptop_charger_01,0.31,231.02,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:55Z,laptop_charger_01,0.3,231.39,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:57Z,laptop_charger_01,0.31,230.83,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:07:59Z,laptop_charger_01,0.3,231.22,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:01Z,laptop_charger_01,0.3,230.92,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:03Z,laptop_charger_01,0.3,231.09,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:05Z,laptop_charger_01,0.31,231.56,0.91,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:07Z,laptop_charger_01,0.31,230.79,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:09Z,laptop_charger_01,0.3,230.91,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:11Z,laptop_charger_01,0.31,230.67,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:13Z,laptop_charger_01,0.3,230.87,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:15Z,laptop_charger_01,0.3,230.51,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:17Z,laptop_charger_01,0.3,230.89,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:19Z,laptop_charger_01,0.31,230.72,0.91,0.065,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:20Z,laptop_charger_01,0.3,230.67,0.91,0.064,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:22Z,laptop_charger_01,0.3,230.66,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:24Z,laptop_charger_01,0.3,230.78,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:26Z,laptop_charger_01,0.3,231.11,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:28Z,laptop_charger_01,0.3,230.77,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:30Z,laptop_charger_01,0.3,230.1,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:32Z,laptop_charger_01,0.3,230.07,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:34Z,laptop_charger_01,0.29,230.42,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:36Z,laptop_charger_01,0.3,231.17,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:38Z,laptop_charger_01,0.29,223.8,0.91,0.058,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:40Z,laptop_charger_01,0.29,223.59,0.91,0.056,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:42Z,laptop_charger_01,0.28,223.85,0.91,0.058,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:44Z,laptop_charger_01,0.28,224.15,0.91,0.055,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:46Z,laptop_charger_01,0.29,224.66,0.9,0.055,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:48Z,laptop_charger_01,0.28,224.01,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:49Z,laptop_charger_01,0.29,230.74,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:51Z,laptop_charger_01,0.29,230.61,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:53Z,laptop_charger_01,0.3,230.81,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:55Z,laptop_charger_01,0.29,230.85,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:57Z,laptop_charger_01,0.29,230.87,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:08:59Z,laptop_charger_01,0.3,231.3,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:01Z,laptop_charger_01,0.3,231.07,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:03Z,laptop_charger_01,0.29,231.23,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:05Z,laptop_charger_01,0.3,231.19,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:07Z,laptop_charger_01,0.3,231.7,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:09Z,laptop_charger_01,0.3,231.29,0.91,0.063,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:11Z,laptop_charger_01,0.3,231.29,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:13Z,laptop_charger_01,0.29,231.31,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:15Z,laptop_charger_01,0.29,231.4,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:17Z,laptop_charger_01,0.29,231.55,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:18Z,laptop_charger_01,0.29,231.27,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:20Z,laptop_charger_01,0.29,230.56,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:22Z,laptop_charger_01,0.29,231.31,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:24Z,laptop_charger_01,0.29,231.32,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:26Z,laptop_charger_01,0.29,231.53,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:28Z,laptop_charger_01,0.29,231.25,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:30Z,laptop_charger_01,0.29,231.0,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:32Z,laptop_charger_01,0.29,231.44,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:34Z,laptop_charger_01,0.29,231.49,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:36Z,laptop_charger_01,0.29,231.61,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:38Z,laptop_charger_01,0.29,231.29,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:40Z,laptop_charger_01,0.28,231.45,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:42Z,laptop_charger_01,0.29,231.3,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:44Z,laptop_charger_01,0.29,231.66,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:46Z,laptop_charger_01,0.29,231.81,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:47Z,laptop_charger_01,0.29,231.89,0.91,0.062,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:49Z,laptop_charger_01,0.29,231.7,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:51Z,laptop_charger_01,0.29,231.78,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:53Z,laptop_charger_01,0.28,231.79,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:55Z,laptop_charger_01,0.29,231.93,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:57Z,laptop_charger_01,0.28,231.86,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:09:59Z,laptop_charger_01,0.28,231.45,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:10:01Z,laptop_charger_01,0.29,231.42,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:10:03Z,laptop_charger_01,0.29,231.35,0.91,0.06,32.5,ACTIVE,normal_run,none
2026-09-06T10:10:05Z,laptop_charger_01,0.28,231.75,0.91,0.061,32.5,ACTIVE,normal_run,none
2026-09-06T10:10:07Z,laptop_charger_01,0.29,231.81,0.91,0.059,32.5,ACTIVE,normal_run,none
